"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "JSON", "HTML", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\apotato\Desktop\mkone\README.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Users\apotato\Desktop\mkone\TREE.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\apotato\Desktop\mkone\config\fonts.json", "JSON", 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"c:\Users\apotato\Desktop\mkone\config\icon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\apotato\Desktop\mkone\config\links.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\apotato\Desktop\mkone\css\base\base.css", "PostCSS", 0, 0, 0, 0, 0, 31, 0, 2, 5, 38
"c:\Users\apotato\Desktop\mkone\css\base\loading.css", "PostCSS", 0, 0, 0, 0, 0, 22, 0, 1, 2, 25
"c:\Users\apotato\Desktop\mkone\css\base\print.css", "PostCSS", 0, 0, 0, 0, 0, 13, 0, 1, 2, 16
"c:\Users\apotato\Desktop\mkone\css\base\scrollbar.css", "PostCSS", 0, 0, 0, 0, 0, 18, 0, 5, 6, 29
"c:\Users\apotato\Desktop\mkone\css\base\toast.css", "PostCSS", 0, 0, 0, 0, 0, 57, 0, 5, 4, 66
"c:\Users\apotato\Desktop\mkone\css\color\color-base.css", "PostCSS", 0, 0, 0, 0, 0, 22, 0, 7, 6, 35
"c:\Users\apotato\Desktop\mkone\css\color\color.css", "PostCSS", 0, 0, 0, 0, 0, 77, 0, 7, 8, 92
"c:\Users\apotato\Desktop\mkone\css\content\content.css", "PostCSS", 0, 0, 0, 0, 0, 25, 0, 3, 6, 34
"c:\Users\apotato\Desktop\mkone\css\content\pagnav.css", "PostCSS", 0, 0, 0, 0, 0, 102, 0, 18, 14, 134
"c:\Users\apotato\Desktop\mkone\css\content\renderer.css", "PostCSS", 0, 0, 0, 0, 0, 154, 0, 9, 22, 185
"c:\Users\apotato\Desktop\mkone\css\content\search-area.css", "PostCSS", 0, 0, 0, 0, 0, 81, 0, 5, 13, 99
"c:\Users\apotato\Desktop\mkone\css\index.css", "PostCSS", 0, 0, 0, 0, 0, 26, 0, 0, 10, 36
